Date,Actual,Predicted
2024-03-15,14.109999656677246,14.7602825
2024-03-18,13.989999771118164,14.763379
2024-03-19,13.789999961853027,14.490441
2024-03-20,13.729999542236328,14.7728405
2024-03-21,13.8100004196167,14.542273
2024-03-22,14.010000228881836,14.586346
2024-03-25,13.829999923706056,15.132557
2024-03-26,14.119999885559082,14.718601
2024-03-27,13.960000038146973,14.656458
2024-03-28,13.869999885559082,14.126329
2024-04-01,14.06999969482422,14.617058
2024-04-02,13.979999542236328,14.567674
2024-04-03,14.56999969482422,14.267939
2024-04-04,14.850000381469728,14.679989
2024-04-05,14.789999961853027,14.906767
2024-04-08,14.899999618530272,14.973827
2024-04-09,14.880000114440918,15.048523
2024-04-10,14.65999984741211,15.478316
2024-04-11,14.710000038146973,14.6830435
2024-04-12,14.460000038146973,14.612525
2024-04-15,14.520000457763672,14.795402
2024-04-16,14.789999961853027,14.64564
2024-04-17,14.880000114440918,14.729067
2024-04-18,15.100000381469728,14.829283
2024-04-19,15.420000076293944,15.295307
2024-04-22,15.550000190734863,15.329905
2024-04-23,15.789999961853027,15.419507
2024-04-24,16.059999465942383,15.729219
2024-04-25,16.06999969482422,15.842885
2024-04-26,16.440000534057617,16.181992
2024-04-29,16.200000762939453,16.139393
2024-04-30,16.020000457763672,16.249304
2024-05-01,15.8100004196167,16.226152
2024-05-02,15.489999771118164,15.949666
2024-05-03,15.539999961853027,15.597937
2024-05-06,15.869999885559082,15.806484
2024-05-07,15.479999542236328,15.793249
2024-05-08,15.75,15.740682
2024-05-09,15.770000457763672,15.89684
2024-05-10,16.030000686645508,15.9984
2024-05-13,16.1299991607666,15.780136
2024-05-14,16.850000381469727,16.09448
2024-05-15,16.760000228881836,16.17704
2024-05-16,16.84000015258789,16.516863
